"Description","Count","HPO_ID","p_Value","q_value","Gene_names"
"Anti-thyroid peroxidase antibody positivity",3,"HP:0025379",8.97276353061698e-05,0.000941671507466681," ADA , FOXP3 , ITCH ,"
"Neoplasm",8,"HP:0002664",0.00174654402818635,0.00378903923562891," RTEL1 , CD19 , KIT , MAPK1 , MAX , AR , DOCK8 , ACD ,"
"Insulin receptor antibody positivity",2,"HP:0031104",0.00201419848004996,0.00387332458034666," FOXP3 , ITCH ,"
"Gastrointestinal angiodysplasia",2,"HP:0000471",0.00586314016953753,0.00428128001189469," ENG , VWF ,"
"Atrial arrhythmia",2,"HP:0001692",0.00586314016953753,0.00428128001189469," EMD , TNNI3K ,"
"Eclampsia",3,"HP:0100601",0.00616004501081808,0.0042926838767226," PPARG , CD46 , LMNA ,"
"Renotubular dysgenesis",2,"HP:0008660",0.0113793015534852,0.00439880934066276," REN , ACE ,"
"Anuria",3,"HP:0100519",0.0146001418107606,0.00442730756104634," CD46 , REN , ACE ,"
"Hemophagocytosis",3,"HP:0012156",0.0146001418107606,0.00442730756104634," PRF1 , UNC13D , STXBP2 ,"
"Inflammatory abnormality of the skin",2,"HP:0011123",0.0184063892218011,0.00444836267634907," ADA , TGFB1 ,"
"Unerupted tooth",2,"HP:0000706",0.0184063892218011,0.00444836267634907," APC , TRIO ,"
"Elevated hepatic iron concentration",2,"HP:0012465",0.0184063892218011,0.00444836267634907," PIGA , CP ,"
"Abnormal bowel sounds",2,"HP:0030142",0.0184063892218011,0.00444836267634907," CCR6 , HLA-DRB1 ,"
"Small placenta",2,"HP:0006266",0.0184063892218011,0.00444836267634907," LMNA , MUSK ,"
"Myositis",5,"HP:0100614",0.0189270593409032,0.00445059612353191," FOXP3 , ADAR , TNFRSF1A , TLR4 , HLA-B ,"
"Reduced subcutaneous adipose tissue",4,"HP:0003758",0.0239220660677311,0.0044671519001372," TGFB1 , PPARG , FH , LMNA ,"
"Decreased level of GABA in serum",2,"HP:0410054",0.0267986767058735,0.00447392105559168," MPO , APP ,"
"Epigastric pain",2,"HP:0410019",0.0267986767058735,0.00447392105559168," MET , CD46 ,"
"Generalized hypopigmentation of hair",2,"HP:0011358",0.0267986767058735,0.00447392105559168," RTEL1 , ACD ,"
"Anterior uveitis",2,"HP:0012122",0.0267986767058735,0.00447392105559168," HLA-DRB1 , HLA-B ,"
"Pericarditis",5,"HP:0001701",0.0290648565096164,0.00447832115803242," MAF , HLA-DRB1 , TNFRSF1A , TLR4 , HLA-B ,"
"Alopecia universalis",2,"HP:0002289",0.0364203777860798,0.00448886500296611," LMNA , HR ,"
"Duodenal polyposis",2,"HP:0004783",0.0364203777860798,0.00448886500296611," ENG , APC ,"
"Recurrent pharyngitis",2,"HP:0100776",0.0364203777860798,0.00448886500296611," PLG , TNFRSF1A ,"
"Papillary renal cell carcinoma",2,"HP:0006766",0.0364203777860798,0.00448886500296611," MET , LMNA ,"
"Congenital adrenal hyperplasia",2,"HP:0008258",0.0364203777860798,0.00448886500296611," POR , STAR ,"
"Short umbilical cord",2,"HP:0001196",0.0364203777860798,0.00448886500296611," LMNA , MUSK ,"
"Absent muscle fiber emerin",2,"HP:0030117",0.0364203777860798,0.00448886500296611," EMD , LMNA ,"
